uri	prefLabels	prefUnknown	altLabels	altLanguages	altUnknown	notations
http://bartoc.org/en/node/185	1	0	0	0	0	0
http://bartoc.org/en/node/186	1	0	0	0	0	0
http://bartoc.org/en/node/187	1	0	0	0	0	0
http://bartoc.org/en/node/188	1	0	2	1	0	0
http://bartoc.org/en/node/189	1	0	0	0	0	0
http://bartoc.org/en/node/190	1	1	2	2	1	0
http://bartoc.org/en/node/191	1	0	0	0	0	0
http://bartoc.org/en/node/192	1	1	2	2	1	0
http://bartoc.org/en/node/193	1	0	0	0	0	0
http://bartoc.org/en/node/194	2	1	0	0	0	1
http://bartoc.org/en/node/195	1	1	2	1	2	1
http://bartoc.org/en/node/196	1	0	0	0	0	0
http://bartoc.org/en/node/197	1	1	3	2	1	0
http://bartoc.org/en/node/198	1	1	2	2	1	0
http://bartoc.org/en/node/199	1	0	0	0	0	0
http://bartoc.org/en/node/200	1	0	0	0	0	0
http://bartoc.org/en/node/201	1	0	0	0	0	0
http://bartoc.org/en/node/202	1	0	0	0	0	0
http://bartoc.org/en/node/203	1	0	0	0	0	0
http://bartoc.org/en/node/204	1	1	2	2	1	0
http://bartoc.org/en/node/205	1	0	2	1	0	0
http://bartoc.org/en/node/206	1	0	0	0	0	0
http://bartoc.org/en/node/207	1	0	0	0	0	0
http://bartoc.org/en/node/208	1	0	0	0	0	0
http://bartoc.org/en/node/209	1	0	0	0	0	0
http://bartoc.org/en/node/211	1	0	0	0	0	0
http://bartoc.org/en/node/212	1	0	2	2	0	0
http://bartoc.org/en/node/213	1	0	0	0	0	0
http://bartoc.org/en/node/214	1	0	3	1	0	0
http://bartoc.org/en/node/215	1	0	2	1	0	0
http://bartoc.org/en/node/216	2	1	0	0	0	1
http://bartoc.org/en/node/217	2	1	0	0	0	1
http://bartoc.org/en/node/218	1	0	0	0	0	0
http://bartoc.org/en/node/219	2	1	0	0	0	1
http://bartoc.org/en/node/220	1	0	2	1	0	0
http://bartoc.org/en/node/221	1	0	2	2	0	1
http://bartoc.org/en/node/222	1	0	0	0	0	1
http://bartoc.org/en/node/223	1	0	0	0	0	0
http://bartoc.org/en/node/224	1	1	2	2	1	0
http://bartoc.org/en/node/225	1	1	2	2	1	0
http://bartoc.org/en/node/226	1	0	0	0	0	1
http://bartoc.org/en/node/227	1	0	0	0	0	1
http://bartoc.org/en/node/228	1	0	0	0	0	1
http://bartoc.org/en/node/229	1	0	3	3	1	0
http://bartoc.org/en/node/230	1	1	2	2	1	0
http://bartoc.org/en/node/231	1	0	2	2	0	0
http://bartoc.org/en/node/232	1	0	0	0	0	0
http://bartoc.org/en/node/233	1	0	0	0	0	0
http://bartoc.org/en/node/234	1	1	2	1	2	0
http://bartoc.org/en/node/235	1	0	0	0	0	0
http://bartoc.org/en/node/236	1	0	0	0	0	1
http://bartoc.org/en/node/237	1	0	2	1	0	0
http://bartoc.org/en/node/238	1	0	0	0	0	0
http://bartoc.org/en/node/239	1	0	0	0	0	1
http://bartoc.org/en/node/240	1	0	0	0	0	0
http://bartoc.org/en/node/241	1	1	0	0	0	1
http://bartoc.org/en/node/242	1	0	2	1	0	0
http://bartoc.org/en/node/243	1	0	2	1	0	0
http://bartoc.org/en/node/244	1	1	2	2	1	0
http://bartoc.org/en/node/245	1	0	2	1	0	0
http://bartoc.org/en/node/246	1	0	0	0	0	0
http://bartoc.org/en/node/248	1	0	4	3	0	0
http://bartoc.org/en/node/249	1	0	2	1	0	0
http://bartoc.org/en/node/250	1	0	0	0	0	1
http://bartoc.org/en/node/251	2	1	0	0	0	1
http://bartoc.org/en/node/252	2	1	0	0	0	1
http://bartoc.org/en/node/253	1	0	2	2	1	0
http://bartoc.org/en/node/254	1	1	0	0	0	1
http://bartoc.org/en/node/255	1	0	0	0	0	0
http://bartoc.org/en/node/256	1	0	0	0	0	0
http://bartoc.org/en/node/257	1	1	2	2	1	0
http://bartoc.org/en/node/258	1	0	2	2	1	0
http://bartoc.org/en/node/259	1	0	0	0	0	0
http://bartoc.org/en/node/260	1	0	0	0	0	0
http://bartoc.org/en/node/261	1	0	0	0	0	0
http://bartoc.org/en/node/262	1	0	2	2	1	0
http://bartoc.org/en/node/263	1	0	0	0	0	0
http://bartoc.org/en/node/264	1	0	0	0	0	0
http://bartoc.org/en/node/265	1	0	0	0	0	0
http://bartoc.org/en/node/266	1	0	2	1	0	0
http://bartoc.org/en/node/267	1	0	2	1	0	0
http://bartoc.org/en/node/268	1	0	0	0	0	0
http://bartoc.org/en/node/269	1	0	0	0	0	0
http://bartoc.org/en/node/270	1	0	2	1	0	0
http://bartoc.org/en/node/271	1	0	2	1	0	0
http://bartoc.org/en/node/272	2	1	0	0	0	1
http://bartoc.org/en/node/273	1	0	0	0	0	0
http://bartoc.org/en/node/274	2	1	0	0	0	1
http://bartoc.org/en/node/275	1	0	0	0	0	0
http://bartoc.org/en/node/276	1	0	2	1	0	0
http://bartoc.org/en/node/277	1	0	0	0	0	0
http://bartoc.org/en/node/278	1	0	0	0	0	1
http://bartoc.org/en/node/279	2	1	0	0	0	1
http://bartoc.org/en/node/280	1	0	0	0	0	0
http://bartoc.org/en/node/282	1	0	0	0	0	0
http://bartoc.org/en/node/283	1	0	0	0	0	0
http://bartoc.org/en/node/284	1	0	0	0	0	0
http://bartoc.org/en/node/285	1	0	2	1	0	0
http://bartoc.org/en/node/286	1	0	0	0	0	0
http://bartoc.org/en/node/287	1	0	2	1	0	0
http://bartoc.org/en/node/288	1	0	0	0	0	0
http://bartoc.org/en/node/289	1	0	0	0	0	0
http://bartoc.org/en/node/290	1	0	0	0	0	0
http://bartoc.org/en/node/291	1	0	0	0	0	0
http://bartoc.org/en/node/292	1	0	0	0	0	0
http://bartoc.org/en/node/293	1	0	0	0	0	0
http://bartoc.org/en/node/294	1	0	0	0	0	0
http://bartoc.org/en/node/295	1	0	2	1	0	0
http://bartoc.org/en/node/296	1	0	0	0	0	0
http://bartoc.org/en/node/297	2	1	0	0	0	1
http://bartoc.org/en/node/298	1	0	0	0	0	1
http://bartoc.org/en/node/299	2	1	0	0	0	1
http://bartoc.org/en/node/301	1	0	0	0	0	0
http://bartoc.org/en/node/302	2	1	0	0	0	1
http://bartoc.org/en/node/303	1	0	0	0	0	1
http://bartoc.org/en/node/304	1	0	2	1	0	0
http://bartoc.org/en/node/305	1	1	0	0	0	0
http://bartoc.org/en/node/306	2	1	0	0	0	1
http://bartoc.org/en/node/307	1	0	0	0	0	0
http://bartoc.org/en/node/308	1	0	0	0	0	0
http://bartoc.org/en/node/309	1	1	4	3	2	0
http://bartoc.org/en/node/310	1	0	0	0	0	0
http://bartoc.org/en/node/311	1	0	3	1	0	0
http://bartoc.org/en/node/312	1	0	3	2	1	0
http://bartoc.org/en/node/313	1	0	0	0	0	1
http://bartoc.org/en/node/314	1	0	0	0	0	0
http://bartoc.org/en/node/315	1	0	0	0	0	0
http://bartoc.org/en/node/316	1	0	4	1	0	1
http://bartoc.org/en/node/317	1	0	3	1	0	0
http://bartoc.org/en/node/318	1	0	0	0	0	0
http://bartoc.org/en/node/319	1	0	2	1	0	0
http://bartoc.org/en/node/320	1	0	2	1	0	0
http://bartoc.org/en/node/321	1	0	0	0	0	0
http://bartoc.org/en/node/322	1	0	2	1	0	0
http://bartoc.org/en/node/323	1	0	0	0	0	0
http://bartoc.org/en/node/324	1	0	0	0	0	0
http://bartoc.org/en/node/325	1	0	2	2	0	0
http://bartoc.org/en/node/326	2	1	0	0	0	1
http://bartoc.org/en/node/327	1	0	0	0	0	0
http://bartoc.org/en/node/328	1	0	0	0	0	1
http://bartoc.org/en/node/329	1	1	2	2	0	1
http://bartoc.org/en/node/330	1	1	2	2	0	1
http://bartoc.org/en/node/331	1	1	3	2	0	1
http://bartoc.org/en/node/332	1	1	0	0	0	1
http://bartoc.org/en/node/333	2	1	0	0	0	1
http://bartoc.org/en/node/334	1	0	0	0	0	0
http://bartoc.org/en/node/335	1	1	2	2	1	0
http://bartoc.org/en/node/336	1	0	0	0	0	0
http://bartoc.org/en/node/337	1	0	0	0	0	0
http://bartoc.org/en/node/338	1	0	0	0	0	0
http://bartoc.org/en/node/339	2	1	0	0	0	1
http://bartoc.org/en/node/340	1	0	0	0	0	0
http://bartoc.org/en/node/341	2	1	0	0	0	1
http://bartoc.org/en/node/342	1	0	2	1	0	0
http://bartoc.org/en/node/343	1	0	0	0	0	0
http://bartoc.org/en/node/344	1	0	0	0	0	0
http://bartoc.org/en/node/345	1	1	0	0	0	0
http://bartoc.org/en/node/346	1	0	2	1	0	1
http://bartoc.org/en/node/347	2	1	0	0	0	1
http://bartoc.org/en/node/348	1	0	0	0	0	0
http://bartoc.org/en/node/349	1	0	0	0	0	0
http://bartoc.org/en/node/350	1	0	0	0	0	0
http://bartoc.org/en/node/351	1	0	0	0	0	0
http://bartoc.org/en/node/352	2	1	0	0	0	1
http://bartoc.org/en/node/353	1	0	2	1	0	0
http://bartoc.org/en/node/354	2	1	0	0	0	1
http://bartoc.org/en/node/355	2	1	0	0	0	1
http://bartoc.org/en/node/356	1	0	0	0	0	1
http://bartoc.org/en/node/357	1	0	0	0	0	1
http://bartoc.org/en/node/358	1	0	0	0	0	1
http://bartoc.org/en/node/360	1	0	0	0	0	1
http://bartoc.org/en/node/361	1	0	2	1	0	0
http://bartoc.org/en/node/362	2	1	0	0	0	1
http://bartoc.org/en/node/363	1	0	2	1	0	0
http://bartoc.org/en/node/364	1	0	2	1	0	0
http://bartoc.org/en/node/365	1	0	0	0	0	1
